ra/rb,fb/fa,na/nb,Structure
0.6418359669,2.6666666667,2.00,AlB2
0.7582222222,2,2.00,AlB2
0.6418359669,2.6666666667,3.00,AlB2
0.7582222222,2,3.00,AlB2
0.376146789,1,2.00,AlB2+trace CsCl
0.4627539503,2,2.00,AlB2+trace CsCl
0.7582222222,2,0.25,CsCl
0.8518518519,2,0.25,CsCl
1,0.5,0.25,CsCl
1,1,0.25,CsCl
0.7582222222,2,0.33,CsCl
1,0.5,0.33,CsCl
1,1,0.33,CsCl
0.4734505088,1,0.50,CsCl
0.5217125382,1,0.50,CsCl
0.5703142411,1,0.50,CsCl
0.6418359669,2,0.50,CsCl
0.6418359669,2.6666666667,0.50,CsCl
0.7582222222,2,0.50,CsCl
1,0.5,0.50,CsCl
1,1,0.50,CsCl
0.4734505088,1,1.00,CsCl
0.5217125382,1,1.00,CsCl
0.5313548387,1,1.00,CsCl
0.5703142411,1,1.00,CsCl
0.6100740741,2,1.00,CsCl
0.6418359669,2,1.00,CsCl
0.6418359669,2.6666666667,1.00,CsCl
0.7582222222,2,1.00,CsCl
0.7582222222,2,1.00,CsCl
0.8518518519,1,1.00,CsCl
0.8518518519,2,1.00,CsCl
1,0.5,1.00,CsCl
1,1,1.00,CsCl
0.4734505088,1,2.00,CsCl
0.5313548387,1,2.00,CsCl
0.5313548387,8,2.00,CsCl
0.5703142411,1,2.00,CsCl
0.6100740741,2,2.00,CsCl
0.6418359669,2,2.00,CsCl
0.7582222222,2,2.00,CsCl
0.8518518519,1,2.00,CsCl
0.8518518519,2,2.00,CsCl
1,0.5,2.00,CsCl
1,1,2.00,CsCl
0.4734505088,1,3.00,CsCl
0.5703142411,1,3.00,CsCl
0.7582222222,2,3.00,CsCl
1,0.5,3.00,CsCl
1,1,3.00,CsCl
0.5313548387,1,4.00,CsCl
0.5313548387,6,4.00,CsCl
0.5313548387,8,4.00,CsCl
0.6100740741,2,4.00,CsCl
0.6603870968,6,4.00,CsCl
0.8518518519,1,4.00,CsCl
0.5313548387,6,10.00,CsCl
0.5313548387,6,16.00,CsCl
0.6418359669,2,3.00,CsCl+trace AlB2
0.5217125382,1,3.00,Disordered AlB2
0.5217125382,1,2.00,Disordered AlB2
0.376146789,2,2.00,Disordered Cr3Si
0.4627539503,4,2.00,Disordered Cr3Si
0.6880733945,4,0.33,Disordered CsCl
0.5217125382,2,0.50,Disordered CsCl
0.6880733945,4,0.50,Disordered CsCl
0.5217125382,2,1.00,Disordered CsCl
0.6880733945,1,1.00,Disordered CsCl
0.6880733945,4,1.00,Disordered CsCl
0.5217125382,2,2.00,Disordered CsCl
0.6880733945,1,2.00,Disordered CsCl
0.6880733945,4,2.00,Disordered CsCl
0.5217125382,2,3.00,Disordered CsCl
0.6880733945,1,3.00,Disordered CsCl
0.6880733945,4,3.00,Disordered CsCl
0.3687,2,3.00,Cr3Si
0.5119,2.5,3.00,Cr3Si
0.4283,2.25,3.00,Cr3Si
0.6047,2,2.00,AlB2
0.5593,1,2.00,AlB2
0.3846,1,2.00,AlB2
0.5533,1.5,2.00,AlB2
0.4737,1.5,2.00,AlB2
0.5071,3,2.00,AlB2
0.4079,1.5,2.00,AlB2
0.5538,3,2.00,AlB2
0.6413,2.4,2.00,AlB2
0.7526,3,1.00,CsCl
1.6277,0.4,1.00,CsCl
1.3191,0.5,1.00,CsCl
0.996,0.5,1.00,CsCl
1.1733,0.5,1.00,CsCl
0.9888,0.2,1.00,CsCl
1.0202,0.3,1.00,CsCl
1.0146,0.3,1.00,CsCl
0.9375,0.2,1.00,CsCl
1.0118,0.4,1.00,CsCl
1,1,1.00,CsCl
0.62,0.3,1.00,CsCl
0.75,0.5,1.00,CsCl
0.85,0.5,1.00,CsCl
